ANIO,descripcion,DEF_AMENABLES,GRUPO
2019,Epilepsia,233.00,Neurológico
2019,Neumonía,9347.00,Respiratorio
2019,Enf. respiratorias excl. neumonía e influenza (1-14),142.00,Respiratorio
2019,Influenza,25.00,Respiratorio
2019,Nefritis y nefrosis,3506.00,Urogenital
2019,Hiperplasia benigna de próstata,16.00,Urogenital
2020,Enfermedad cerebrovascular,7627.00,Cardiovascular
2020,Cardiopatía isquémica (50%),5038.50,Cardiovascular
2020,Hipertensión arterial,2112.00,Cardiovascular
2020,Enf. reumática cardíaca crónica,42.00,Cardiovascular
2020,Anomalías cardiovasculares congénitas,615.00,Congénito
2020,Úlcera péptica,149.00,Digestivo
2020,Colelitiasis y colecistitis,127.00,Digestivo
2020,Hernia abdominal,107.00,Digestivo
2020,Apendicitis,44.00,Digestivo
2020,Diabetes mellitus,541.00,Endócrino/Metabólico
2020,Enfermedades del tiroides,48.00,Endócrino/Metabólico
2020,Accidentes durante atención médica,629.00,Iatrogénico
2020,Septicemia,4220.00,Infecciosas
2020,Tuberculosis y secuelas,436.00,Infecciosas
2020,Infecciones intestinales,33.00,Infecciosas
2020,Tos convulsa,1.00,Infecciosas
2020,Muertes perinatales,2408.00,Materno-Perinatal
2020,Muerte materna,257.00,Materno-Perinatal
2020,Ca. colon y recto,4274.00,Neoplasias
2020,Ca. mama,3658.00,Neoplasias
2020,Ca. cuello uterino,1101.00,Neoplasias
2020,Leucemia,454.00,Neoplasias
2020,Ca. cuerpo uterino,231.00,Neoplasias
2020,Ca. testículo,217.00,Neoplasias
2020,Ca. piel (no melanoma),140.00,Neoplasias
2020,Enfermedad de Hodgkin,120.00,Neoplasias
2020,Epilepsia,241.00,Neurológico
2020,Neumonía,9088.00,Respiratorio
2020,Enf. respiratorias excl. neumonía e influenza (1-14),100.00,Respiratorio
2020,Influenza,1.00,Respiratorio
2020,Nefritis y nefrosis,3266.00,Urogenital
2020,Hiperplasia benigna de próstata,14.00,Urogenital
2021,Enfermedad cerebrovascular,8070.00,Cardiovascular
2021,Cardiopatía isquémica (50%),5468.50,Cardiovascular
2021,Hipertensión arterial,2297.00,Cardiovascular
2021,Enf. reumática cardíaca crónica,73.00,Cardiovascular
2021,Anomalías cardiovasculares congénitas,632.00,Congénito
2021,Úlcera péptica,166.00,Digestivo
2021,Colelitiasis y colecistitis,150.00,Digestivo
2021,Hernia abdominal,125.00,Digestivo
2021,Apendicitis,55.00,Digestivo
2021,Diabetes mellitus,601.00,Endócrino/Metabólico
2021,Enfermedades del tiroides,50.00,Endócrino/Metabólico
2021,Accidentes durante atención médica,686.00,Iatrogénico
2021,Septicemia,5745.00,Infecciosas
2021,Tuberculosis y secuelas,521.00,Infecciosas
2021,Infecciones intestinales,52.00,Infecciosas
2021,Muertes perinatales,2249.00,Materno-Perinatal
2021,Muerte materna,475.00,Materno-Perinatal
